Date,Description,Amount,Type,Category
2024-11-24,Grocery shopping,-208.05,expense,Food
2024-11-24,Investment returns,964.78,income,Other Income
2024-11-22,Streaming service,-427.34,expense,Entertainment
2024-11-20,Side project,360.44,income,Other Income
2024-11-17,Fast food,-96.62,expense,Food
2024-11-16,Phone bill,-708.16,expense,Bills
2024-11-11,Bonus,886.06,income,Salary
2024-11-10,Video games,-345.58,expense,Entertainment
2024-11-09,Monthly salary,197.33,income,Salary
2024-11-09,Investment returns,901.42,income,Other Income
2024-11-06,Fast food,-184.44,expense,Food
2024-11-05,Freelance work,222.34,income,Other Income
2024-11-05,Clothes,-805.71,expense,Shopping
2024-11-04,Bonus,733.39,income,Salary
2024-11-03,Grocery shopping,-790.88,expense,Food
2024-10-31,Home decor,-492.21,expense,Shopping
2024-10-30,Monthly salary,573.75,income,Salary
2024-10-28,Bonus,141.79,income,Salary
2024-10-27,Internet bill,-542.33,expense,Bills
2024-10-27,Restaurant dinner,-112.23,expense,Food
